#OTU ID,IOM032FX101024,Optimal_Abundance,Change_Diff,Energy,Sleep,Stress
Lactobacillus,21.33,24.81,3.48,0,1,1
Bifidobacterium,21.18,24.91,3.73,1,1,1
Bacteroides,7.17,3.7,-3.47,0,0,-2
Escherichia-Shigella,5.49,5.49,0,,,
Streptococcus,5.23,2,-3.23,0,0,1
[Eubacterium]_eligens_group,4.97,0.15,-4.82,,,
Megasphaera,4.84,0.53,-4.31,,,
Faecalibacterium,4.36,4.04,-0.32,5,3,1
no_genus,2.78,0.17,-2.61,,,
Lachnospiraceae_NK4A136_group,2.45,0.15,-2.3,,,
Monoglobus,2.23,0.15,-2.08,,,
Olsenella,1.88,0.17,-1.71,,,
Roseburia,1.41,4.7,3.29,3,0,1
Acidaminococcus,1.35,0.45,-0.9,0,1,0
Ruminococcus,1.34,5.05,3.71,2,1,1
Subdoligranulum,1.3,0.45,-0.85,1,0,0
Butyricicoccus,1.05,0.05,-1,0,0,-1
Collinsella,0.82,0.81,-0.01,1,0,0
Klebsiella,0.62,0.62,0,0,-2,0
Caproiciproducens,0.56,0.15,-0.41,,,
Agathobacter,0.54,0.15,-0.39,,,
Enterococcus,0.51,0.26,-0.25,-1,0,-1
Sutterella,0.47,0.17,-0.3,0,-1,1
Prevotella,0.46,0.22,-0.24,0,-2,1
Anaerostipes,0.41,1.35,0.94,3,0,2
Blautia,0.4,1.35,0.95,0,5,1
Dorea,0.4,4.04,3.64,1,1,1
Veillonella,0.38,0.53,0.15,,,
Staphylococcus,0.36,0.15,-0.21,,,
Rothia,0.3,0.17,-0.13,,,
Senegalimassilia,0.29,0.17,-0.12,,,
Bacillus,0.27,0.15,-0.12,,,
Dialister,0.23,0.45,0.22,1,0,0
Lachnospiraceae_ND3007_group,0.23,0.15,-0.08,,,
[Eubacterium]_hallii_group,0.22,0.15,-0.07,,,
Weissella,0.22,0.45,0.23,0,0,1
Erysipelotrichaceae_UCG-003,0.22,0.15,-0.07,,,
[Ruminococcus]_torques_group,0.14,0.15,0.01,,,
Actinomyces,0.13,0.06,-0.07,0,0,-1
Lachnoclostridium,0.12,0.15,0.03,,,
Slackia,0.1,0.17,0.07,,,
Lachnospiraceae_UCG-004,0.1,0.15,0.05,,,
Fusicatenibacter,0.09,0.15,0.06,0,-2,1
Rummeliibacillus,0.09,0.15,0.06,,,
Haemophilus,0.08,0.08,0,1,-1,0
[Eubacterium]_ventriosum_group,0.06,0.15,0.09,,,
uncultured,0.06,0.34,0.28,,,
Coprococcus,0.05,0.18,0.13,2,-2,-2
UBA1819,0.04,0.15,0.11,,,
Eggerthella,0.04,0.04,0,-2,0,-1
Anaerovibrio,0.03,0.15,0.12,,,
[Ruminococcus]_gauvreauii_group,0.03,0.15,0.12,,,
Pediococcus,0.03,0.15,0.12,,,
Eubacterium,0.03,0.53,0.5,,,
